,Brand,Model,Year,Fuel,Horse Power,Engine Cylinders,Number of Doors,Market Categories,Vehicle Size,Vehicle Style,Miles Per Gallon (MPG),Retail Price
0,BMW,1 Series M,2011,premium unleaded (required),335.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,19,46135
1,BMW,1 Series,2011,premium unleaded (required),300.0,6.0,2.0,"Luxury,Performance",Compact,Convertible,19,40650
2,BMW,1 Series,2011,premium unleaded (required),300.0,6.0,2.0,"Luxury,High-Performance",Compact,Coupe,20,36350
3,BMW,1 Series,2011,premium unleaded (required),230.0,6.0,2.0,"Luxury,Performance",Compact,Coupe,18,29450
4,BMW,1 Series,2011,premium unleaded (required),230.0,6.0,2.0,Luxury,Compact,Convertible,18,34500
5,BMW,1 Series,2012,premium unleaded (required),230.0,6.0,2.0,"Luxury,Performance",Compact,Coupe,18,31200
6,BMW,1 Series,2012,premium unleaded (required),300.0,6.0,2.0,"Luxury,Performance",Compact,Convertible,17,44100
7,BMW,1 Series,2012,premium unleaded (required),300.0,6.0,2.0,"Luxury,High-Performance",Compact,Coupe,20,39300
8,BMW,1 Series,2012,premium unleaded (required),230.0,6.0,2.0,Luxury,Compact,Convertible,18,36900
9,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,2.0,Luxury,Compact,Convertible,18,37200
10,BMW,1 Series,2013,premium unleaded (required),300.0,6.0,2.0,"Luxury,High-Performance",Compact,Coupe,20,39600
11,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,2.0,"Luxury,Performance",Compact,Coupe,19,31500
12,BMW,1 Series,2013,premium unleaded (required),300.0,6.0,2.0,"Luxury,Performance",Compact,Convertible,19,44400
13,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,2.0,Luxury,Compact,Convertible,19,37200
14,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,2.0,"Luxury,Performance",Compact,Coupe,19,31500
15,BMW,1 Series,2013,premium unleaded (required),320.0,6.0,2.0,"Luxury,High-Performance",Compact,Convertible,18,48250
16,BMW,1 Series,2013,premium unleaded (required),320.0,6.0,2.0,"Luxury,High-Performance",Compact,Coupe,20,43550
32,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,2.0,Performance,Compact,Convertible,26,27495
33,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,2.0,Performance,Compact,Convertible,26,24995
34,FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4.0,2.0,Performance,Compact,Convertible,26,28195
41,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,2.0,"Luxury,Performance",Compact,Coupe,23,32850
42,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,2.0,Luxury,Compact,Convertible,23,38650
43,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,20,48750
44,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,2.0,"Luxury,Performance",Compact,Coupe,23,34850
45,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,2.0,Luxury,Compact,Convertible,22,40650
46,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,20,44150
47,BMW,2 Series,2016,premium unleaded (required),240.0,4.0,2.0,"Luxury,Performance",Compact,Coupe,22,32850
48,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,20,46150
49,BMW,2 Series,2016,premium unleaded (required),320.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,20,50750
50,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,21,46450
51,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,21,49050
52,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Convertible,21,51050
53,BMW,2 Series,2017,premium unleaded (recommended),335.0,6.0,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,21,44450
54,BMW,2 Series,2017,premium unleaded (recommended),248.0,4.0,2.0,"Luxury,Performance",Compact,Convertible,23,38950
