,Rooms,Type,Method,Distance,Postcode,Bedrooms,Bathroom,Car,Landsize,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,Price class
0,4,h,S,6.4,3011.0,3.0,1.0,2.0,411.0,,-37.7969,144.9049,Western Metropolitan,7570.0,1
1,4,h,S,14.6,3189.0,4.0,1.0,2.0,638.0,1972.0,-37.9378,145.05700000000004,Southern Metropolitan,2555.0,1
2,5,h,PI,12.4,3107.0,5.0,4.0,2.0,968.0,1970.0,-37.77083,145.11516,Eastern Metropolitan,5420.0,1
3,3,h,SP,5.2,3056.0,3.0,1.0,2.0,264.0,,-37.7611,144.9644,Northern Metropolitan,11918.0,0
4,3,h,S,8.8,3072.0,3.0,1.0,2.0,610.0,,-37.751,145.0197,Northern Metropolitan,14577.0,0
5,2,h,S,9.4,3081.0,2.0,1.0,2.0,586.0,,-37.7418,145.0464,Eastern Metropolitan,2674.0,0
6,2,h,SP,6.2,3039.0,2.0,1.0,0.0,233.0,,-37.76919,144.91186000000005,Western Metropolitan,6232.0,1
7,2,u,SP,12.1,3163.0,2.0,2.0,2.0,5289.0,2013.0,-37.8882,145.0666,Southern Metropolitan,4442.0,0
8,2,u,PI,4.5,3181.0,2.0,1.0,1.0,0.0,1999.0,-37.8513,144.9943,Southern Metropolitan,7717.0,0
9,4,h,S,4.6,3142.0,4.0,2.0,2.0,684.0,1963.0,-37.8485,145.0169,Southern Metropolitan,7217.0,2
10,2,t,VB,7.4,3144.0,2.0,2.0,1.0,156.0,,-37.8486,145.0321,Southern Metropolitan,4675.0,0
11,2,u,S,9.2,3104.0,2.0,1.0,1.0,1075.0,1970.0,-37.7953,145.0712,Southern Metropolitan,7809.0,0
12,2,t,S,11.2,3127.0,1.0,2.0,1.0,88.0,1997.0,-37.819,145.0888,Southern Metropolitan,5457.0,0
13,2,u,PI,2.6,3121.0,2.0,1.0,1.0,7455.0,2008.0,-37.822,145.0104,Northern Metropolitan,14949.0,0
14,2,h,S,12.4,3060.0,2.0,1.0,2.0,606.0,,-37.709,144.9646,Northern Metropolitan,,0
15,5,h,VB,7.8,3124.0,5.0,3.0,2.0,802.0,1994.0,-37.8442,145.0578,Southern Metropolitan,8920.0,2
16,2,u,S,7.5,3123.0,2.0,1.0,2.0,0.0,1970.0,-37.8254,145.0474,Southern Metropolitan,6482.0,0
17,5,h,VB,9.5,3034.0,5.0,2.0,3.0,577.0,1985.0,-37.75261,144.85631,Western Metropolitan,4502.0,0
18,3,h,S,7.2,3185.0,3.0,2.0,1.0,346.0,1890.0,-37.88319,145.01142,Southern Metropolitan,4898.0,1
19,3,h,S,23.2,3153.0,3.0,2.0,2.0,255.0,,-37.84633,145.26267,Eastern Metropolitan,5030.0,0
20,3,h,S,17.9,3082.0,3.0,1.0,1.0,546.0,1977.0,-37.65359,145.04276000000004,Northern Metropolitan,10529.0,0
21,3,h,S,12.8,3033.0,3.0,1.0,2.0,600.0,,-37.7312,144.8685,Western Metropolitan,5629.0,0
22,3,h,S,7.0,3013.0,3.0,2.0,2.0,542.0,2016.0,-37.811,144.8844,Western Metropolitan,6543.0,1
23,3,h,S,14.9,3087.0,3.0,2.0,0.0,767.0,1960.0,-37.7084,145.0788,Northern Metropolitan,2329.0,0
24,3,h,SP,8.0,3040.0,3.0,1.0,1.0,578.0,,-37.7526,144.9089,Western Metropolitan,9264.0,1
25,3,h,S,5.2,3056.0,3.0,1.0,1.0,314.0,,-37.7573,144.97,Northern Metropolitan,11918.0,0
